video,clip_folder,serve_time,served_by,our_shot_at_that_time,what_we_call_the_serve_instead,,,,
PB 5 minute outdoor.mp4,pb_5_minute_outdoor-7,01:34.2,user,nothing detected,we call 1:35.50 the serve (return),,,,video shows it correctly #32. and #33 is the return
PB 5 minute outdoor.mp4,pb_5_minute_outdoor-7,02:32.5,user,nothing detected,we call 2:33.92 the serve (return),,,,very clear serve by user
PB 5 minute outdoor.mp4,pb_5_minute_outdoor-7,03:13.0,opponent,3:13.00 drive,,,,,Clear serve by opponent. Not sure why it says drive. 
PB 5 minute outdoor.mp4,pb_5_minute_outdoor-7,04:42.3,opponent,4:42.53 drive,,,,,"the 2 shotsannotated  before that are a mistake (#105, 106) and are not shots taken. #107 (4:42.5 should be a serve)"
PB 5 minute outdoor.mp4,pb_5_minute_outdoor-7,05:01.9,user,nothing detected,we call 5:03.17 the serve (return),,,,very clear serve by user
PB 3 min indoor 1 court C.mp4,pb_3_min_indoor_1_court_c,00:08.3,user,nothing detected,,,,,very clear user serve
PB 3 min indoor 1 court C.mp4,pb_3_min_indoor_1_court_c,00:39.7,user,nothing detected,,,,,very clear user serve
PB 3 min indoor 1 court C.mp4,pb_3_min_indoor_1_court_c,02:30.5,opponent,nothing detected,we call 2:31.52 the serve (serve),,,,very clear opponent serve
